Dataset_id	MZML_file_name	Species	Project_id
PXD071282	Ecoli_SEC4_F5.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F5.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F6.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F14.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F4.mzML	E. coli	1
MSV000085258	DSB_201900915_M9-J-20190404_PEPPI_F09_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_02B_01.mzML	E. coli	31
MSV000085258	DSB_201900915_M9-J-20190404_PEPPI_F09_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_02B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_01B_02.mzML	E. coli	31
MSV000085258	DSB_20190914_MG1655_M9-OL-20190515_GF_03_02_190915191709.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI09_02.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI09_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_01B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_03B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_03B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_07B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_07B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_08B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191107_M9-OL-20190515_GF_09B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191107_M9-OL-20190515_GF_09B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_08B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_04B_01.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI01_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_04B_02.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI01_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_06B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_06B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_05B_02.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI08_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_05B_01.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI08_01.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI04_01.mzML	E. coli	31
MSV000085258	DSB_201900906_M9-J-20190404_PEPPI_F01_01.mzML	E. coli	31
MSV000085258	DSB_201900906_M9-J-20190404_PEPPI_F01_02.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI04_02.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI02_02.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI03_02.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI07_02.mzML	E. coli	31
MSV000085258	DSB_201900907_M9-J-20190404_PEPPI_F06_01.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI06_01.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI06_02.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI02_01.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI03_01.mzML	E. coli	31
MSV000085258	DSB_201900907_M9-J-20190404_PEPPI_F06_02.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI07_01.mzML	E. coli	31
MSV000085258	DSB_201900906_M9-J-20190404_PEPPI_F02_02.mzML	E. coli	31
MSV000085258	DSB_201900906_M9-J-20190404_PEPPI_F02_01.mzML	E. coli	31
MSV000085258	DSB_201900906_M9-J-20190404_PEPPI_F03_01.mzML	E. coli	31
MSV000085258	DSB_201900906_M9-J-20190404_PEPPI_F03_02.mzML	E. coli	31
MSV000085258	DSB_201900907_M9-J-20190404_PEPPI_F04_02.mzML	E. coli	31
MSV000085258	DSB_201900907_M9-J-20190404_PEPPI_F05_02.mzML	E. coli	31
MSV000085258	DSB_201900907_M9-J-20190404_PEPPI_F04_01.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI05_02.mzML	E. coli	31
MSV000085258	DSB_201900908_M9-J-20190404_PEPPI_F08_01.mzML	E. coli	31
MSV000085258	DSB_201900907_M9-J-20190404_PEPPI_F05_01.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI05_01.mzML	E. coli	31
MSV000085258	DSB_201900908_M9-J-20190404_PEPPI_F07_01.mzML	E. coli	31
MSV000085258	DSB_20190918_MG1655_M9-OL-20190515_GF_07_02.mzML	E. coli	31
MSV000085258	DSB_20190918_MG1655_M9-OL-20190515_GF_07_01.mzML	E. coli	31
MSV000085258	DSB_20190917_MG1655_M9-OL-20190515_GF_06_02.mzML	E. coli	31
MSV000085258	DSB_201900917_M9-J-20190404_PEPPI_F08_02.mzML	E. coli	31
MSV000085258	DSB_20190917_MG1655_M9-OL-20190515_GF_06_01.mzML	E. coli	31
MSV000085258	DSB_20190914_MG1655_M9-OL-20190515_GF_02_02.mzML	E. coli	31
MSV000085258	DSB_20190914_MG1655_M9-OL-20190515_GF_01_01.mzML	E. coli	31
MSV000085258	DSB_20190917_MG1655_M9-OL-20190515_GF_05_02.mzML	E. coli	31
MSV000085258	DSB_20190914_MG1655_M9-OL-20190515_GF_02_01.mzML	E. coli	31
MSV000085258	DSB_20190914_MG1655_M9-OL-20190515_GF_03_01.mzML	E. coli	31
MSV000085258	DSB_20190914_MG1655_M9-OL-20190515_GF_01_02.mzML	E. coli	31
MSV000085258	DSB_20190917_MG1655_M9-OL-20190515_GF_04_01.mzML	E. coli	31
MSV000085258	DSB_20190917_MG1655_M9-OL-20190515_GF_04_02.mzML	E. coli	31
MSV000085258	DSB_20190917_MG1655_M9-OL-20190515_GF_05_01.mzML	E. coli	31
MSV000085258	DSB_20190921_MG1655_M9-OL-20190515_GF_09_02.mzML	E. coli	31
MSV000085258	DSB_20190921_MG1655_M9-OL-20190515_GF_09_01.mzML	E. coli	31
MSV000085258	DSB_20190918_MG1655_M9-OL-20190515_GF_08_02.mzML	E. coli	31
MSV000085258	DSB_20190918_MG1655_M9-OL-20190515_GF_08_01.mzML	E. coli	31
MSV000085258	DSB_20200315_M9-J-20190404_PEPPI_F07_02.mzML	E. coli	31
PXD018248	ecoli-400ng-20AA-1-rep1_bestconditions.mzML	E. coli	22
PXD018248	ecoli-400ng-20AA-1-rep2_firstbatch.mzML	E. coli	22
PXD018248	ecoli-400ng-20AA-2-rep2_secondbatch.mzML	E. coli	22
PXD017265	1M_20AA15DMA10IPA_ecoli_400nL_04.mzML	E. coli	7
PXD017265	1M_20AA_ecoli_400nL_02.mzML	E. coli	7
PXD017265	1M_05AA_ecoli_400nL_01.mzML	E. coli	7
PXD017265	1M_20AA_ecoli_400nL_03.mzML	E. coli	7
PXD017265	1M_20AA_ecoli_400nL_01.mzML	E. coli	7
PXD017265	1M_05AA_ecoli_400nL_02.mzML	E. coli	7
PXD017265	1M_05AA_ecoli_400nL_03.mzML	E. coli	7
PXD017265	1M_20AA15DMA10IPA_ecoli_400nL_01.mzML	E. coli	7
PXD017265	1M_20AA15DMA10IPA_ecoli_400nL_02.mzML	E. coli	7
PXD046651	Diluted_Yeast_1.mzML	Yeast	12
PXD046651	Diluted_Yeast_2.mzML	Yeast	12
PXD046651	Diluted_Yeast_3.mzML	Yeast	12
PXD046651	Yeast_16.mzML	Yeast	12
PXD046651	Yeast_58.mzML	Yeast	12
PXD046651	Diluted_Yeast_4.mzML	Yeast	12
PXD046651	Yeast_50.mzML	Yeast	12
PXD046651	Yeast_41.mzML	Yeast	12
PXD046651	Yeast_21.mzML	Yeast	12
PXD046651	Diluted_Yeast_5.mzML	Yeast	12
PXD046651	Yeast_28.mzML	Yeast	12
PXD046651	Yeast_40.mzML	Yeast	12
PXD046651	Yeast_37.mzML	Yeast	12
PXD046651	Yeast_19.mzML	Yeast	12
PXD046651	Yeast_59.mzML	Yeast	12
PXD046651	Yeast_22.mzML	Yeast	12
PXD046651	Yeast_20.mzML	Yeast	12
PXD046651	Yeast_1.mzML	Yeast	12
